Name,Ticker,Country,Country Code,Exchange,Sector,More Info
A Capital Holding ,ACAP,Egypt,EG,NILX,Real Estate Developers,https://www.marketwatch.com//investing/Stock/ACAP?countryCode=EG
A One Alform Co. Ltd. ,234070,South Korea,KR,XKON,Building Materials/Products,https://www.marketwatch.com//investing/Stock/234070?countryCode=KR
A Plus Biotechnology Co. Ltd. ,6918,Taiwan,TW,ROCO,Medical Equipment/Supplies,https://www.marketwatch.com//investing/Stock/6918?countryCode=TW
A Self-Administered Real Estate Investment Trust ,140910,South Korea,KR,XKRX,Residential REITs,https://www.marketwatch.com//investing/Stock/140910?countryCode=KR
A SPAC I Acquisition Corp. Rt ,ASCAR,United States,US,XNAS,Shell companies,https://www.marketwatch.com//investing/Stock/ASCAR?countryCode=US
A SPAC I Acquisition Corp. Wt ,ASCAW,United States,US,XNAS,,https://www.marketwatch.com//investing/Stock/ASCAW?countryCode=US
A SPAC II Acquisition Corp. ,ASCB,United States,US,XNAS,Shell companies,https://www.marketwatch.com//investing/Stock/ASCB?countryCode=US
A SPAC II Acquisition Corp. Rt ,ASCBR,United States,US,XNAS,Shell companies,https://www.marketwatch.com//investing/Stock/ASCBR?countryCode=US
A SPAC II Acquisition Corp. Wt ,ASCBW,United States,US,XNAS,,https://www.marketwatch.com//investing/Stock/ASCBW?countryCode=US
A&A Material Corp. ,5391,Japan,JP,XTKS,Building Materials/Products,https://www.marketwatch.com//investing/Stock/5391?countryCode=JP
A&D HOLON Holdings Co. Ltd. ,7745,Japan,JP,XTKS,Precision Products,https://www.marketwatch.com//investing/Stock/7745?countryCode=JP
A&S Group ,Holdings,Hong Kong,HK,XHKG,Transportation Services,https://www.marketwatch.com//investing/Stock/1737?countryCode=HK
A. Brown Co. Inc. ,BRN,Philippines,PH,XPHS,Real Estate Developers,https://www.marketwatch.com//investing/Stock/BRN?countryCode=PH
A. Brown Co. Inc. Pfd. ,BRNP,Philippines,PH,XPHS,Real Estate Developers,https://www.marketwatch.com//investing/Stock/BRNP?countryCode=PH
A. Libental Holdings Ltd. ,LBTL,Israel,IL,XTAE,Real Estate Developers,https://www.marketwatch.com//investing/Stock/LBTL?countryCode=IL
A. Soriano Corp. ,ANS,Philippines,PH,XPHS,Industrial Electronics,https://www.marketwatch.com//investing/Stock/ANS?countryCode=PH
A. Tsokkos Hotels Public Ltd. ,TSH,Cyprus,CY,XCYS,Hotels,https://www.marketwatch.com//investing/Stock/TSH?countryCode=CY
A.D. Works Group Co. Ltd. ,2982,Japan,JP,XTKS,Real Estate Developers,https://www.marketwatch.com//investing/Stock/2982?countryCode=JP
A.F. Enterprises Ltd. ,538351,India,IN,XBOM,Wholesalers,https://www.marketwatch.com//investing/Stock/538351?countryCode=IN
A.F.P. Cuprum S.A. ,CUPRUM,Chile,CL,XSGO,Investment Advisors,https://www.marketwatch.com//investing/Stock/CUPRUM?countryCode=CL
A.F.P. Habitat S.A. ,HABITAT,Chile,CL,XSGO,Investment Advisors,https://www.marketwatch.com//investing/Stock/HABITAT?countryCode=CL
A.F.P. Planvital S.A. ,PLANVITAL,Chile,CL,XSGO,Investment Advisors,https://www.marketwatch.com//investing/Stock/PLANVITAL?countryCode=CL
A.F.P. ProVida S.A. ,PROVIDA,Chile,CL,XSGO,Investment Advisors,https://www.marketwatch.com//investing/Stock/PROVIDA?countryCode=CL
A.G. Barr PLC ,BAG,United Kingdom,UK,XLON,Non-Alcoholic Beverages/Drinks,https://www.marketwatch.com//investing/Stock/BAG?countryCode=UK
A.G.F. Management Ltd. Cl B NV ,AGF.B,Canada,CA,XTSE,Investment Advisors,https://www.marketwatch.com//investing/Stock/AGF.B?countryCode=CA
